Month,Week,Campaign,Campaign ID,Device,Creative Type,Placement,Site (Placement),F9,F10,F11,F12,Platform,Site Served,F15,Target Type,F17,F18,F19,F20,HPTO,Audience Target,F23,F24,F25,Placement ID,Creative,F28,Nameplate,Trim,CW,Lifestyle,Retail Type,Message Type,Message,F36,F37,ENG,Creative Version,Video Length,Creative ID,Creative Size,Impressions,Clicks,Total Outcomes,Total View Through Outcomes,Total Click Through Outcomes,Key Buying Activities,View Through KBAs,Click Through KBAs,Key Engagement Activities,View Through KEAs,Click Through KEAs,Rich Media Impressions,Interactive Impressions,Expansions,Video Plays,VIdeo Completions
2016-01-01,2016-01-03,CVN/CS/660_Chevrolet Division_Chevy Silverado_Durable and Trusted Digital_BPR_USA_GNM_2016,9321870,Desktop,Image,AccuWeather_Silverado 1500_PMP Accuweather ATF ROS   M 25-54_160 x 600_In-Banner Standard_Desktop_TPS_17_GACBT_1_0_N/A_VAR_SP_AccuWeather | PMP_N/A_24_P6Z85Z,AccuWeather,Silverado 1500,PMP Accuweather ATF ROS   M 25-54,160 x 600,In-Banner Standard,Desktop,TPS,17,GACBT,1,0,N/A,VAR,SP,AccuWeather | PMP,N/A,24,P6Z85Z,126892759,2016_Silverado 1500__CW_LS__Intro_MDLL_Static_US_ENG_v1_160x600,2016,Silverado 1500,,CW,LS,,Intro,MDLL,Static,US,ENG,v1,160x600,68189415,160 x 600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,2016-01-03,CVN/CS/660_Chevrolet Division_Chevy Silverado_Durable and Trusted Digital_BPR_USA_GNM_2016,9321870,Desktop,Image,AccuWeather_Silverado 1500_PMP Accuweather ATF ROS   M 25-54_160 x 600_In-Banner Standard_Desktop_TPS_17_GACBT_1_0_N/A_VAR_SP_AccuWeather | PMP_N/A_24_P6Z85Z,AccuWeather,Silverado 1500,PMP Accuweather ATF ROS   M 25-54,160 x 600,In-Banner Standard,Desktop,TPS,17,GACBT,1,0,N/A,VAR,SP,AccuWeather | PMP,N/A,24,P6Z85Z,126892759,2016_Silverado 1500__CW_LS__Intro_NewFace_Static_US_ENG_v1_160x600,2016,Silverado 1500,,CW,LS,,Intro,NewFace,Static,US,ENG,v1,160x600,68186653,160 x 600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,2016-01-03,CVN/CS/660_Chevrolet Division_Chevy Silverado_Durable and Trusted Digital_BPR_USA_GNM_2016,9321870,Desktop,Image,AccuWeather_Silverado 1500_PMP Accuweather ATF ROS   M 25-54_300 x 250_In-Banner Standard_Desktop_TPS_17_GACBT_1_0_N/A_VAR_SP_AccuWeather | PMP_N/A_24_P6Z85W,AccuWeather,Silverado 1500,PMP Accuweather ATF ROS   M 25-54,300 x 250,In-Banner Standard,Desktop,TPS,17,GACBT,1,0,N/A,VAR,SP,AccuWeather | PMP,N/A,24,P6Z85W,126891262,2016_Silverado 1500__CW_LS__Intro_HighStrengthSteel_Static_US_ENG_v1_300x250,2016,Silverado 1500,,CW,LS,,Intro,HighStrengthSteel,Static,US,ENG,v1,300x250,68186652,300 x 250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,2016-01-03,CVN/CS/660_Chevrolet Division_Chevy Silverado_Durable and Trusted Digital_BPR_USA_GNM_2016,9321870,Desktop,Image,AccuWeather_Silverado 1500_PMP Accuweather ATF ROS   M 25-54_300 x 250_In-Banner Standard_Desktop_TPS_17_GACBT_1_0_N/A_VAR_SP_AccuWeather | PMP_N/A_24_P6Z85W,AccuWeather,Silverado 1500,PMP Accuweather ATF ROS   M 25-54,300 x 250,In-Banner Standard,Desktop,TPS,17,GACBT,1,0,N/A,VAR,SP,AccuWeather | PMP,N/A,24,P6Z85W,126891262,2016_Silverado 1500__CW_LS__Intro_NewFace_Static_US_ENG_v1_300x250,2016,Silverado 1500,,CW,LS,,Intro,NewFace,Static,US,ENG,v1,300x250,68187960,300 x 250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,2016-01-03,CVN/CS/660_Chevrolet Division_Chevy Silverado_Durable and Trusted Digital_BPR_USA_GNM_2016,9321870,Desktop,Image,AccuWeather_Silverado 1500_PMP Accuweather ATF ROS   M 25-54_300 x 600_In-Banner Standard_Desktop_TPS_17_GACBT_1_0_N/A_VAR_SP_AccuWeather | PMP_N/A_24_P6Z85X,AccuWeather,Silverado 1500,PMP Accuweather ATF ROS   M 25-54,300 x 600,In-Banner Standard,Desktop,TPS,17,GACBT,1,0,N/A,VAR,SP,AccuWeather | PMP,N/A,24,P6Z85X,126890193,2016_Silverado 1500__CW_LS__Intro_HighStrengthSteel_Static_US_ENG_v1_300x600,2016,Silverado 1500,,CW,LS,,Intro,HighStrengthSteel,Static,US,ENG,v1,300x600,68190936,300 x 600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,2016-01-03,CVN/CS/660_Chevrolet Division_Chevy Silverado_Durable and Trusted Digital_BPR_USA_GNM_2016,9321870,Desktop,Image,AccuWeather_Silverado 1500_PMP Accuweather ATF ROS   M 25-54_300 x 600_In-Banner Standard_Desktop_TPS_17_GACBT_1_0_N/A_VAR_SP_AccuWeather | PMP_N/A_24_P6Z85X,AccuWeather,Silverado 1500,PMP Accuweather ATF ROS   M 25-54,300 x 600,In-Banner Standard,Desktop,TPS,17,GACBT,1,0,N/A,VAR,SP,AccuWeather | PMP,N/A,24,P6Z85X,126890193,2016_Silverado 1500__CW_LS__Intro_MDLL_Static_US_ENG_v1_300x600,2016,Silverado 1500,,CW,LS,,Intro,MDLL,Static,US,ENG,v1,300x600,68191576,300 x 600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,2016-01-03,CVN/CS/660_Chevrolet Division_Chevy Silverado_Durable and Trusted Digital_BPR_USA_GNM_2016,9321870,Desktop,Image,AccuWeather_Silverado 1500_PMP Accuweather ATF ROS   M 25-54_728 x 90_In-Banner Standard_Desktop_TPS_17_GACBT_1_0_N/A_VAR_SP_AccuWeather | PMP_N/A_24_P6Z85Y,AccuWeather,Silverado 1500,PMP Accuweather ATF ROS   M 25-54,728 x 90,In-Banner Standard,Desktop,TPS,17,GACBT,1,0,N/A,VAR,SP,AccuWeather | PMP,N/A,24,P6Z85Y,126886433,2016_Silverado 1500__CW_LS__Intro_HighStrengthSteel_Static_US_ENG_v1_728x90,2016,Silverado 1500,,CW,LS,,Intro,HighStrengthSteel,Static,US,ENG,v1,728x90,68191578,728 x 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,2016-01-03,CVN/CS/660_Chevrolet Division_Chevy Silverado_Durable and Trusted Digital_BPR_USA_GNM_2016,9321870,Desktop,Image,AccuWeather_Silverado 1500_PMP Accuweather ATF ROS   M 25-54_728 x 90_In-Banner Standard_Desktop_TPS_17_GACBT_1_0_N/A_VAR_SP_AccuWeather | PMP_N/A_24_P6Z85Y,AccuWeather,Silverado 1500,PMP Accuweather ATF ROS   M 25-54,728 x 90,In-Banner Standard,Desktop,TPS,17,GACBT,1,0,N/A,VAR,SP,AccuWeather | PMP,N/A,24,P6Z85Y,126886433,2016_Silverado 1500__CW_LS__Intro_NewFace_Static_US_ENG_v1_728x90,2016,Silverado 1500,,CW,LS,,Intro,NewFace,Static,US,ENG,v1,728x90,68192099,728 x 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,2016-01-03,CVN/CS/660_Chevrolet Division_Chevy Silverado_Durable and Trusted Digital_BPR_USA_GNM_2016,9321870,Desktop,Image,weather.com_Silverado 1500_PMP Weather Channel ATF   M 25-54_160 x 600_In-Banner Standard_Desktop_TPS_17_GACBT_1_0_N/A_VAR_SP_Weather Channel  | PMP_N/A_24_P6Z863,weather.com,Silverado 1500,PMP Weather Channel ATF   M 25-54,160 x 600,In-Banner Standard,Desktop,TPS,17,GACBT,1,0,N/A,VAR,SP,Weather Channel  | PMP,N/A,24,P6Z863,126883474,2016_Silverado 1500__CW_LS__Intro_MDLL_Static_US_ENG_v1_160x600,2016,Silverado 1500,,CW,LS,,Intro,MDLL,Static,US,ENG,v1,160x600,68189415,160 x 600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,2016-01-03,CVN/CS/660_Chevrolet Division_Chevy Silverado_Durable and Trusted Digital_BPR_USA_GNM_2016,9321870,Desktop,Image,weather.com_Silverado 1500_PMP Weather Channel ATF   M 25-54_300 x 250_In-Banner Standard_Desktop_TPS_17_GACBT_1_0_N/A_VAR_SP_Weather Channel  | PMP_N/A_24_P6Z860,weather.com,Silverado 1500,PMP Weather Channel ATF   M 25-54,300 x 250,In-Banner Standard,Desktop,TPS,17,GACBT,1,0,N/A,VAR,SP,Weather Channel  | PMP,N/A,24,P6Z860,126890070,2016_Silverado 1500__CW_LS__Intro_HighStrengthSteel_Static_US_ENG_v1_300x250,2016,Silverado 1500,,CW,LS,,Intro,HighStrengthSteel,Static,US,ENG,v1,300x250,68186652,300 x 250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
